Initialization done, evaluating initial agents...
Initialization done, took 0.00 seconds
Agent: {'x': 101.3438660003808, 'y': 91.27863536694905, 'level': np.str_('c')}, Fitness: 18592.36845035558
Agent: {'x': 85.13301081660298, 'y': 95.62300883337461, 'level': np.str_('b')}, Fitness: 16391.389349047477
Agent: {'x': 109.64965768438455, 'y': 102.5622177642276, 'level': np.str_('b')}, Fitness: 22542.055943019554
Agent: {'x': 100.89343724724853, 'y': 108.57949507822846, 'level': np.str_('c')}, Fitness: 21958.992431007515


Starting the genetic algorithm...
Generation 1/300 done, best fitness: 14126.3475793211, best agent: {'x': 77.65526806634162, 'y': 89.9778134923589, 'level': np.str_('b')}
It took 0.00 seconds
Agent: {'x': 102.25750266245821, 'y': 102.87035164694825, 'level': np.str_('b')}, Fitness: 21038.906098729436
Agent: {'x': 108.48931864209197, 'y': 82.42703870216734, 'level': np.str_('c')}, Fitness: 18554.148968633956
Agent: {'x': 95.24475142186752, 'y': 101.56747353186356, 'level': np.str_('c')}, Fitness: 19377.514353059138
Agent: {'x': 100.37957847595301, 'y': 98.34222976868563, 'level': np.str_('b')}, Fitness: 19747.253930886967
Agent: {'x': 95.76012256181458, 'y': 100.59507038065624, 'level': np.str_('c')}, Fitness: 19279.369257942933
Agent: {'x': 103.06013184451156, 'y': 106.68639673747504, 'level': np.str_('c')}, Fitness: 21993.378024634032
Agent: {'x': 97.13885164712462, 'y': 79.87327205425575, 'level': np.str_('b')}, Fitness: 15815.696087975239
Agent: {'x': 99.5553982912638, 'y': 101.72385678831422, 'level': np.str_('b')}, Fitness: 20259.02036882163
Agent: {'x': 90.1793816804917, 'y': 112.73238133246508, 'level': np.str_('b')}, Fitness: 20840.910681164125
Agent: {'x': 104.8602125090616, 'y': 108.60458014972265, 'level': np.str_('b')}, Fitness: 22790.618996943092
Agent: {'x': 120.99101011319772, 'y': 93.42318121970983, 'level': np.str_('c')}, Fitness: 23356.715317422655
Agent: {'x': 91.30708347756895, 'y': 105.49333225664928, 'level': np.str_('b')}, Fitness: 19465.826643791544
Agent: {'x': 94.77121833401443, 'y': 91.22353948340366, 'level': np.str_('c')}, Fitness: 17293.31798039354
